time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
148,323,48065,91.22,656,105.26505402000002,38060,-70.9952880859375,-1.5285777568817138,0.025615780800580978,12.967313766479492,0.0003,,
147,329,48775,95.08,660,106.28213375000001,38770,-70.62303009033204,-1.208958387374878,0.025135718286037445,12.515190696716308,0.0003,,
147,332,49135,97.58,664,107.04476018999999,39130,-70.91813354492187,-1.0476873815059662,0.024858954921364786,12.513339614868164,0.0003,,
147,336,49730,100.33,668,106.12759591,39725,-69.70058135986328,-0.7354659736156464,0.025036177784204482,12.707427978515625,0.0003,,
147,341,50235,102.41,672,105.18726429999998,40230,-69.53350219726562,0.9184613108634949,0.02434045486152172,13.287764167785644,0.0003,,
146,345,50830,105.46,676,106.85716852999998,40825,-69.56795959472656,0.6613168060779572,0.02405988462269306,11.490969848632812,0.0003,,
146,351,51480,107.55,680,107.73781410999999,41475,-67.59293975830079,-0.10464887619018555,0.024079586565494537,12.297708129882812,0.0003,,
145,356,52080,109.63,684,111.38739188000001,42075,-67.8769546508789,0.08250473737716675,0.024251361191272736,11.855108642578125,0.0003,,
145,360,52510,111.31,688,115.34113162,42505,-67.52965240478515,-1.2010987520217895,0.024661029875278472,11.311806297302246,0.0003,,
145,364,52970,112.02,692,115.15268689,42965,-68.32239379882813,-0.8733336567878723,0.024172450229525567,10.957579612731934,0.0003,,
145,367,53340,111.07,696,114.58918948,43335,-68.81941223144531,-0.24506158232688904,0.024292506650090216,11.274718284606934,0.0003,,
144,370,53715,113.55,700,117.24409559,43710,-68.09782409667969,-0.34963433146476747,0.02430800870060921,10.796363067626952,0.0003,,
144,373,54070,113.79,704,117.6405912,44065,-67.65472412109375,0.366760665178299,0.024177615717053413,11.138432693481445,0.0003,,
144,377,54475,114.05,708,121.60449485,44470,-69.40091552734376,-1.072671127319336,0.024295011535286903,11.086538124084473,0.0003,,
144,379,54815,114.59,712,124.29899483000001,44810,-67.32068176269532,-0.5024194061756134,0.02370154671370983,10.604317092895508,0.0003,,
144,383,55235,115.36,716,126.97009045,45230,-67.35216979980468,0.1930305004119873,0.023714740201830863,10.380906867980958,0.0003,,
143,386,55620,115.2,720,128.87517135,45615,-67.38480529785156,0.3440408408641815,0.023364659771323203,10.112682151794434,0.0003,,
143,389,55990,115.03,724,129.50517812,45985,-67.13929595947266,0.5351437747478485,0.02356325797736645,10.748908042907715,0.0003,,
143,391,56235,113.77,728,129.67368145,46230,-66.86662979125977,1.016508162021637,0.023310181125998496,9.916144943237304,0.0003,,
143,395,56695,114.28,732,128.95187271000003,46690,-67.09580535888672,0.5160001039505004,0.023286070302128793,10.52117691040039,0.0003,,
142,400,57185,117.03,736,133.18709795000004,47180,-66.75173492431641,0.13827792406082154,0.02316872663795948,10.243001174926757,0.0003,,
142,404,57710,117.59,740,132.79463141000002,47705,-66.79181518554688,-0.20336678624153137,0.022538309916853905,9.70677318572998,0.0003,,
142,409,58305,119.32,744,133.62768471,48300,-66.66371154785156,-1.2097140550613403,0.022368264943361284,10.021187019348144,0.0003,,
142,414,58900,119.56,748,136.27838998000001,48895,-66.44320831298828,1.064330095052719,0.022440539300441743,10.495817756652832,0.0003,,
141,418,59430,121.03,752,137.66298714,49425,-65.58869323730468,0.19325310587882996,0.0217754777520895,10.390607833862305,0.0003,,
141,422,59910,120.57,756,138.09003773,49905,-66.22965240478516,-0.22696611285209656,0.021694545075297354,10.028092575073241,0.0003,,
141,425,60295,118.76,760,136.46396853,50290,-64.97992858886718,1.0246266365051269,0.021291812136769294,9.43441104888916,0.0003,,
141,429,60850,117.12,764,135.3458488,50845,-66.14438018798828,-0.8045994162559509,0.02183431014418602,9.460426139831544,0.0003,,
141,434,61420,116.48,768,137.25932512,51415,-67.22379760742187,-0.6783192157745361,0.0210934329777956,9.839863395690918,0.0003,,
141,439,61975,117.72,772,139.82855999,51970,-65.85540771484375,0.38301887512207033,0.020778632909059524,9.361365699768067,0.0003,,
140,443,62460,116.34,776,139.34188242,52455,-64.90701446533203,0.9785520911216736,0.020784129574894904,9.90067195892334,0.0003,,
140,448,62985,115.1,780,141.04563688,52980,-65.50841979980468,1.2072077453136445,0.020958061516284942,9.240240478515625,0.0003,,
140,451,63345,113.68,784,137.76103675000002,53340,-66.04242401123047,-0.9447019338607788,0.020908505842089652,9.65603256225586,0.0003,,
140,453,63680,112.37,788,135.95256641,53675,-66.4562255859375,-0.37181782722473145,0.020984067395329476,9.238082695007325,0.0003,,
140,457,64150,112.12,792,136.70988247000003,54145,-64.70458221435547,0.38320586681365965,0.02088363990187645,9.726182746887208,0.0003,,
139,461,64585,113.98,796,138.70455009000003,54580,-64.41194152832031,0.6252101182937622,0.02052610516548157,9.650941276550293,0.0003,,
139,465,65130,112.53,800,138.73745668,55125,-63.78256759643555,-0.016705602407455444,0.020164520666003227,8.814229202270507,0.0003,,
139,468,65430,113.81,804,140.23042436,55425,-65.71797485351563,0.8371283173561096,0.02007702849805355,9.264049530029297,0.0003,,
139,471,65810,113.17,808,139.33827215000002,55805,-64.48843994140626,-1.044853925704956,0.02003491297364235,8.678790664672851,0.0003,,
139,474,66135,113.74,812,141.12002131,56130,-64.59241333007813,0.7043170690536499,0.020029864087700845,9.035923194885253,0.0003,,
