#{"t_start": 1783133905.572226, "env_id": "None"}
r,l,t,rc_alive,rc_forward,rc_upright,rc_height,rc_single,rc_air,rc_ctrl,rc_action_rate,rc_torque,rc_slide,rc_lateral,rc_yaw_rate,rc_joint_vel,ep_speed,ep_dist,ep_pushes
104.00476,76,116.752203,76.0,56.51464580119454,23.64698458568948,27.590997353906534,4.35,-4.06,-8.465684342384339,-32.90950030684472,-12.71583115099637,-2.9145175723996557,-3.971448360685891,-15.75435511644896,-3.3065305012132153,0.23071221091630012,0.3506825605927762,0.0
80.638078,46,118.736189,46.0,57.30646959855678,15.35858445453222,15.01165577643238,2.2499999999999996,-2.19,-5.4545669412612945,-16.94185033738613,-7.289903790623834,-2.214913398453172,-9.498014154752068,-9.29645273004078,-2.4029300403959892,0.5806502976417851,0.5341982738304423,0.0
110.719486,69,121.677393,69.0,76.90024666302071,22.42148373961843,24.27356283252322,3.449999999999999,-3.69,-7.800527014732361,-33.19703977108003,-11.363128472409628,-3.0425718013794874,-9.00891966797155,-14.220145608587528,-3.003475089366975,0.39744819122891245,0.5484785038958992,0.0
96.300709,68,124.498278,68.0,58.05093312148405,19.781347367468108,23.63920030878942,3.7499999999999987,-2.3899999999999997,-7.428906273841859,-29.465010309219366,-11.170615109102592,-3.2034289940587577,-6.421914242184415,-13.429273010927325,-3.411624223407484,0.18586715394824377,0.25277932936961156,0.0
89.094585,55,126.805492,55.0,64.91004867515002,18.560587595001056,19.39153522903871,2.3999999999999995,-2.4799999999999995,-6.305274605751036,-28.787284052371984,-9.3429037664964,-2.1268481871712956,-7.603104933091883,-11.834898689007016,-2.687271891977293,0.4394554166339547,0.4834009582973502,0.0
68.974486,59,129.299874,59.0,24.975439447506865,20.54355199081502,19.898688777612456,2.6999999999999993,-2.8099999999999996,-6.187527585029604,-21.671037617325783,-9.369391222531412,-2.824824510477215,-0.9382709286265836,-11.801485735195767,-2.5406568440239297,0.40276477694200374,0.4752624367915644,0.0
115.451145,71,132.226263,71.0,76.63223360915056,25.386197439415902,23.069347019298288,3.299999999999999,-4.06,-8.136493549346923,-32.74613885879516,-11.300736974118092,-3.2011313776462726,-5.7869763470655196,-16.01354941805237,-2.6916061393475217,0.4764245266374871,0.6765228278252317,0.0
80.38275,77,135.440767,77.0,26.065743238913782,24.80343386859558,26.06264349948431,2.2499999999999996,-3.3899999999999997,-8.09015559196472,-25.675188881158824,-12.444617661071653,-2.7270612352932644,-1.2071194742074063,-18.97404737186444,-3.2908802961008563,-0.06532301348978281,-0.10059744077426554,0.0
28.571691,86,139.027667,86.0,-19.621936170570976,28.287659192786755,30.31540423224031,0.44999999999999996,-3.36,-9.711621046066284,-41.71881554126741,-14.25588460788878,-3.761021243274628,-1.034551762509783,-19.817815507674652,-3.199726419158242,-0.23423758892905275,-0.4028886529579707,0.0
40.338033,100,143.140158,100.0,-14.275435523147818,28.009786717558164,29.63347651271288,1.05,-5.110000000000001,-10.251570117473602,-38.094381386041626,-16.403281821256936,-3.705016523634809,-2.5836466699148373,-25.525022454235113,-2.4068752958130317,-0.055582837276349294,-0.11116567455269859,0.0
168.235221,127,148.436685,127.0,87.20959087748184,48.40940226976763,43.79786331792603,4.35,-7.780000000000004,-13.084629268646243,-55.17904348373416,-20.199941295356645,-6.754626399279326,-7.72347331571731,-26.871656934932933,-4.938264545092755,0.18463925730065497,0.46898371354366364,0.0
102.285265,115,153.410867,115.0,35.23358027337991,34.83380391134849,39.93476216412293,4.049999999999999,-6.070000000000001,-11.694675137996677,-42.24812569618226,-18.663982289474486,-5.98302223186778,-2.165039727153125,-35.54379860756318,-4.398237740537356,0.015403861447042005,0.03542888132819662,0.0
51.404382,59,155.851353,59.0,13.722940182815382,19.058296729890074,20.71732282990784,1.6499999999999997,-2.7699999999999996,-6.3452379369735725,-23.774164712429044,-9.590182491460684,-3.4371277730487515,-0.4008753742773482,-13.80983979572874,-2.616749804335471,-0.08356721968242473,-0.09860931922526117,0.0
77.933778,56,157.957446,56.0,55.032804324960466,14.808395516578633,18.326533646658646,2.5499999999999994,-3.4099999999999997,-6.1787225317955015,-20.210339343547826,-9.492658087656613,-3.076109527978228,-6.879720052062919,-16.810869955224646,-2.7255354999968664,0.5237919483340733,0.5866469821341621,0.0
119.824786,68,160.384602,68.0,87.52034081791021,23.639104857131798,22.98480003870707,3.7499999999999987,-4.7700000000000005,-7.844652957916263,-28.69897608160973,-11.568873216809179,-4.0720278944683725,-9.242725434055217,-16.917646351217996,-2.954557345793279,0.5210409548345946,0.7086156985750486,0.0
100.469217,57,162.558389,57.0,67.96994564868899,19.839282636955787,17.931381791315534,3.299999999999999,-2.9899999999999993,-6.6623282480239885,-23.608108103275296,-9.48432859208023,-2.9983395661809977,-8.519906023809787,-8.798571525091479,-2.5098105370869255,0.42672450783903754,0.48646593893650286,0.0
89.251624,62,165.135736,62.0,72.41784392352679,18.15564077063351,20.546113882280977,4.35,-2.5599999999999996,-7.614015769958497,-21.190224990248673,-9.941629725545758,-3.679365132199443,-8.855578528249136,-31.374983846820925,-3.0021761109175245,0.530280728159901,0.6575481029182773,0.0
101.617819,78,168.546023,78.0,57.60548086285784,27.14521533385676,26.55950900980797,2.6999999999999993,-4.49,-8.561201548576358,-34.38025094270706,-13.024885000204321,-4.244036419509962,-7.183201080371783,-15.108050137744286,-3.40076114889967,0.33433099957724693,0.5215563593405053,0.0
